"ID","NAME","TYPE","ADDRESS","LATITUDE","LONGITUDE"
"9008018","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747"
"10510325","0109 Dessert + Chocolate","Restaurant","2190 MCNICOLL AVE, -109","43.81477","-79.29491"
"10500438","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842"
"10325728","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10556602","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867"
"10588973","100% SALVA DO RENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942"
"10356847","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863"
"10682883","103 - JANE DOUGH","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10365046","106-TIM HORTONS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10334786","109-MUDDY YORK","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10441981","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951"
"10431055","112-GARRISON CREEK FLAT GRILL","Hot Dog Cart","1 BLUE JAYS WAY","43.64168","-79.39012"
"10435255","114- HOGG'S HOLLOW","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10531049","115-HOGGS HOLLOW ICE COMPANY","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10300086","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10417459","117-CORKTOWN FRESH BURGER","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10334795","117-GARRISON CREEK FLAT GRILL","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10535140","119-BIG LEAGUES CLASSIC","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10459657","12 BAR","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10589964","12 TABLES","Restaurant","1552 AVENUE RD","43.72334","-79.41635"
"10514628","120 DINER","Restaurant","120 CHURCH ST","43.65217","-79.37553"
"10300071","120-BALL PARK FAVORITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10334647","121-CARVERY","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
"10445478","123-BIG LEAGUE CLASSICS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012"
